308363, 6.7441000e+03,    50000, 2.9141e-01, ...
308364, 5.8634000e+03,    48000, 1.3795e-01, ...
308365, 5.0428000e+03,    50000, 7.5920e-02, ...
308366, 4.3227000e+03,    50000, 4.5985e-02, ...
# ...

361039, 3.4988000e+07, 19956800, 4.1028e-01, ...
361040, 3.4986000e+07,  9981800, 4.8610e-01, ...
361041, 3.5002000e+07,  1995800, 1.0752e-01, ...
361042, 3.1290000e+06,  1999200, 3.9960e-01, ...
361043, 3.1329000e+06,  1997400, 4.8201e-01, ...
361044, 3.1352000e+06,   499400, 1.1728e-01, ...
361045, 2.4741000e+05,  9976800, 4.1049e-01, ...
361046, 2.4739000e+05,  1993200, 5.0284e-01, ...
361047, 2.4937000e+05,   997600, 1.2874e-01, ...
361048, 1.3648000e+04,   997200, 4.1834e-01, ...
361049, 1.3617000e+04,   500000, 4.7349e-01, ...
361050, 1.3874000e+04,    99800, 1.4040e-01, ...
361051, 9.2334000e+02,   200000, 3.7922e-01, ...
361052, 9.2185000e+02,   100000, 4.7149e-01, ...
361053, 9.3819000e+02,    20000, 1.4811e-01, ...
361054, 1.8432000e+01,   100000, 3.6961e-01, ...
361055, 1.8388000e+01,    50000, 4.6932e-01, ...
361056, 1.9046000e+01,    10000, 1.5750e-01, ...
361057, 7.9682000e-02,   101000, 3.6729e-01, ...
361058, 8.0331000e-02,      600, 4.6642e-01, ...
361059, 8.2035000e-02,    10000, 1.6958e-01, ...
361060, 2.4843000e-06,     1000, 4.0351e-01, ...
361061, 2.5134000e-06,      800, 4.1612e-01, ...
361062, 2.5431000e-06,     1000, 1.4831e-01, ...

305435, 1.6606000e+03,   196000, 1.0000e+00, ...
305436, 2.4311000e+02,    96000, 1.0000e+00, ...
305437, 3.7897000e+01,    97000, 1.0000e+00, ...
305438, 1.8156000e+00,    76000, 1.0000e+00, ...
305439, 1.6968000e-02,    10000, 1.0000e+00, ...
305440, 6.5757000e+02,   198000, 1.0000e+00, ...
305441, 7.7020000e+01,    98000, 1.0000e+00, ...
305442, 1.0438000e+01,    97000, 1.0000e+00, ...
305443, 4.6266000e-01,    79000, 1.0000e+00, ...
305444, 4.2910000e-03,    10000, 1.0000e+00, ...
