Train_Loss_adv,Train_Loss_clsf,Train_Loss_total,Val_Loss_Adv,Val_loss_Class,val_loss_total,Train_jds,Val_jds,Train_bgrej,Val_bgrej,Train_jsdbg,Val_jsdbg
6.322288990020752,0.25479987263679504,0.24847757816314697,6.20409631729126,0.2414260357618332,0.23522193729877472,0.3158125307844191,0.4862614827831626,12.464285850524902,9.777777671813965,9.29785037845485,7.72127096625216
6.297420978546143,0.12236981093883514,0.1160723865032196,6.1910719871521,0.19186419248580933,0.18567311763763428,0.2895119305361705,0.573205331426884,17.450000762939453,14.666666984558105,13.99591167532217,12.92209144561346
6.284287452697754,0.05496108531951904,0.04867679625749588,6.182892799377441,0.13633321225643158,0.13015031814575195,0.2739505147141674,0.7541790643639712,24.928571701049805,44.0,21.27827740960314,42.674054946296685
6.277013301849365,0.025328846648335457,0.01905183307826519,6.171980381011963,0.0895298644900322,0.08335788547992706,0.5346902232979405,0.7541790643639712,69.80000305175781,44.0,67.92976126234926,42.674054946296685
6.282878875732422,0.012441784143447876,0.006158905103802681,6.168412685394287,0.05564286559820175,0.04947445169091225,0.7233267502375988,0.8909436377662765,174.5,88.0,173.1174989385205,86.87759454401949
6.287013530731201,0.0064287856221199036,0.00014177197590470314,6.189454555511475,0.029516838490962982,0.023327384144067764,0.0,0.0,0.0,0.0,0.0,0.0
6.307348728179932,0.0037053492851555347,-0.0026019997894763947,6.238828182220459,0.015239293687045574,0.009000465273857117,0.0,0.0,0.0,0.0,0.0,0.0
6.328924179077148,0.0022920523770153522,-0.004036872182041407,6.277027606964111,0.008593517355620861,0.002316489350050688,0.0,0.0,0.0,0.0,0.0,0.0
6.38599967956543,0.001370100537315011,-0.0050158994272351265,6.330652713775635,0.005232006311416626,-0.0010986467823386192,0.0,0.0,0.0,0.0,0.0,0.0
6.401982307434082,0.000973823363892734,-0.0054281591437757015,6.341058254241943,0.002445431426167488,-0.003895627334713936,0.0,0.0,0.0,0.0,0.0,0.0
6.432071208953857,0.0006004692404530942,-0.005831602029502392,6.352902889251709,0.001343242358416319,-0.005009660962969065,0.0,0.0,0.0,0.0,0.0,0.0
6.438092231750488,0.00040925678331404924,-0.006028835661709309,6.35256290435791,0.000811236270237714,-0.005541326943784952,0.0,0.0,0.0,0.0,0.0,0.0
6.438346862792969,0.0002958417171612382,-0.006142505444586277,6.3414225578308105,0.00046015175757929683,-0.0058812713250517845,0.0,0.0,0.0,0.0,0.0,0.0
6.439144134521484,0.0002112467191182077,-0.006227897480130196,6.321239471435547,0.000316375691909343,-0.0060048638842999935,0.0,0.0,0.0,0.0,0.0,0.0
6.439078330993652,0.00016612229228485376,-0.006272956263273954,6.296739101409912,0.00021045411995146424,-0.006086285226047039,0.0,0.0,0.0,0.0,0.0,0.0
6.438446044921875,0.00012335737119428813,-0.006315088830888271,6.2711005210876465,0.00014057080261409283,-0.006130529567599297,0.0,0.0,0.0,0.0,0.0,0.0
